场号,群号,,标识,,,备注/留言,,,,,,,,如果你的场有图片之类的资源请放在这里,,,,,,,,,,,
1,1103593490,,jjc1场,,,,,,,,,,,,,,,,,,,,,,
2,1103589349,,jjc2场,,,,,,,,,,,,,,,,,,,,,,
3,2159010978,,jjc3群,,,欢迎大家点击链接加入群聊【公主连结430jjc3场】：https://qm.qq.com/q/AewFprFitG,,,,,,,,,,,,,,,,,,,
4,1101169534,,jjc4场,,,欢迎大家    怎么搜不到 ,,,,,,,,,,,,,,,,,,,
5,1101175646,,26.4.30jjc5场群,,,这是最后的击剑了,,,,,,,,,,,,,,,,,,,
6,910572059,,公主连结jjc6场2026.4.30,,,欢迎大家来！,,,,,,,,,,,,,,,,,,,
7,1101178895,,2026.4.30  7号场,,,,,,,,,,,,,,,,,,,,,,
8,1101177262,,JJC重置后8场20264.30,,,欢迎大家都来,,,,,,,,,,,,,,,,,,,
9,713275718,,jjc9场26/4/30,,,还没看到群啊,,,,,,,,,,,,,,,,,,,
10,531614082,,jjc10场（2026.4.30）,,,没人建群啊😱,,,,,,,,,,,,,,,,,,,
11,1095579874,,11场,,,最后一次了 大家友好交流 安心养老（,,,,,,,,,,,,,,,,,,,
12,482924256,,12场,,,b服,,,,,,,,,,,,,,,,,,,
13,939143998,,13场,,,自带机器人监控,,,,,,,,,,,,,,,,,,,
14,2153013402,,14场,,,欢迎大家 新建的；后续会添加竞技场bot,,,,,,,,,,,,,,,,,,,
15,278982207,,15场,,,怎么没人建群,,,,,,,,,,,,,,,,,,,
16,1083920849 ,,新16场，欢迎大家,,,,,,,,,,,,,,,,,,,,,,
17,835378155,,老群新用，反正也没多少活人了懒的建,,,,,,,,,,,,,,,,,,,,,,
18,212241619,,新18场，一起吹水~,,,,,,,,,,,,,,,,,,,,,,
19,602398109,,欢迎大家来玩,,,,,,,,,,,,,,,,,,,,,,
20,375971095,,群名：4.30公主连结竞技场20场群,,,最后一次重置，群内有bot，欢迎各位加入,,,,,,,,,,,,,,,,,,,
21,768040693,,群名：一宿泥竞技场小窝（场次21）,,,,,,,,,,,,,,,,,,,,,,
22,1103594502,,4月30日 22场jjc重置群,,,,,,,,,,,,,,,,,,,,,,
23,719342207,,4.30 JJC (23场）,,,无审核，快来吹牛。,,,,,,,,,,,,,,,,,,,
24,1026204200,,24场快来人,,,最后一次重置，大家快来，开心pcr，永远不吃井,,,,,,,,,,,,,,,,,,,
25,1091707295,,25场欢迎大家来吹水,,,最后一次重置了，希望大家能友好交流【2026.4.30jjc新群（25场）】：https://qm.qq.com/q/4gpWZVKN5m     ,,,,,,,,,,,,,,,,,,,
26,743910757,,26场,,,,,,,,,,,,,,,,,,,,,,
27,719580063,,27场快来人,,,快来人吹牛呀,,,,,,,,,,,,,,,,,,,
28,1103594530,,28场来人,,,公主连结28场jjc群（2026.4.30重置）群号1103594530 上个群搜不到可加这个,,,,,,,,,,,,,,,,,,,
29,1092889418,,26年4月30日新JJC29场群,,,多来点人 可让你们涨知识,,,,,,,,,,,,,,,,,,,
30,948098471,,30场,,,,,,,,,,,,,,,,,,,,,,
31,1087798593,,31场,,,,,,,,,,,,,,,,,,,,,,
32,278453951,,32场,,,,,,,,,,,,,,,,,,,,,,
33,1103592742,,33场,,,,,,,,,,,,,,,,,,,,,,
34,482890096,,4.30竞技场重置34,,,,,,,,,,,,,,,,,,,,,,
35,632046181,,35场,,,菲欧头像,,,,,,,,,,,,,,,,,,,
36,1080257214,,公主连结jjc4.30新群（36场）,,,,,,,,,,,,,,,,,,,,,,
37,972889374,,2026年4月30日JJC重置群（37场）,,,群是菲欧头像，欢迎大家加入,,,,,,,,,,,,,,,,,,,
38,2159072318,,38场,,,11,,,,,,,,,,,,,,,,,,,
39,1044411865,,39场,,,,,,,,,,,,,,,,,,,,,,
40,1081299950,,40场,,,,,,,,,,,,,,,,,,,,,,
41,1073072213,,41场 来个人当群主,,,点击链接加入群聊【4.30   41场】：https://qm.qq.com/q/U8TpzmDSUg,,,,,,,,,,,,,,,,,,,
42,1101172810,,42场,,,已添置bot,,,,,,,,,,,,,,,,,,,
43,1103607251,,43场,,,,,,,,,,,,,,,,,,,,,,
44,1103604609,,44场,,,,,,,,,,,,,,,,,,,,,,
45,254363794,,45场,,,,,,,,,,,,,,,,,,,,,,
46,151333700,,公主连结46场-2026.04.30,,,,,,,,,,,,,,,,,,,,,,
47,815934893,,47,,,点击左侧群号进群,,,,,,,,,,,,,,,,,,,
48,753130374,,爱姬多娜头像,,,,,,,,,,,,,,,,,,,,,,
49,794535174,,PCR竞技场49场-2026.4.30,,,,,,,,,,,,,,,,,,,,,,
50,1093041208 ,,J50号场 26.4.30,,,欢迎交流,,,,,,,,,,,,,,,,,,,
51,113426717,,51群建好了快来！！,,,少7了  帮你们改了,,,,,,,,,,,,,,,,,,,
52,831769051,,52,,,,,,,,,,,,,,,,,,,,,,
53,1050255661,,53,,,,,,,,,,,,,,,,,,,,,,
54,1082300550,,54,,,,,,,,,,,,,,,,,,,,,,
55,739257323,,55,,,,,,,,,,,,,,,,,,,,,,
56,482271827,,56 26.4.30,,,,,,,,,,,,,,,,,,,,,,
57,633243440,,JJC 57场,,,欢迎小伙伴来交流玩耍,,,,,,,,,,,,,,,,,,,
58,1095061667,,jjc58场  26.4.30,,,,,,,,,,,,,,,,,,,,,,
59,1090244351,,59,,,,,,,,,,,,,,,,,,,,,,
60,1103590355,,60场,,,,,,,,,,,,,,,,,,,,,,
61,185072652,,61场 来打一辈子JJC吧！,,,点击链接加入群聊【公主连接4月30日竞技场61群】：https://qun.qq.com/universal-share/share?ac=1&authKey=mq3ZxKkNEj0F1xH7Dt3CF29iBIsS1gmTbIqJT0eSiNWqVZo0HS%2BeWU2ByhF1I1Jz&busi_data=eyJncm91cENvZGUiOiIxODUwNzI2NTIiLCJ0b2tlbiI6IkJCOEtJMDMvQldTai9wUmlhWlYwcHQzTmMyV0psWXkzV20rZ0dxYmE3Qmp6SHVPcmFGMFRMb3N0THBVd29rS3MiLCJ1aW4iOiI1OTc3OTQ0NzAifQ%3D%3D&data=_CxdLKNHpJLIu7uSSvXCgWCX6BYxJTMXxklwYDgSN0prJ-CB7xA7WrcUhOjhpw68L4F0W1_zgNwNO7v71iIQSw&svctype=4&tempid=h5_group_info,,,,,,,,,,,,,,,,,,,
62,1083965037,,62,,,,,,,,,,,,,,,,,,,,,,
63,874094701,,jjc63,,,63新群,,,,,,,,,,,,,,,,,,,
64,482795856,,64,,,,,,,,,,,,,,,,,,,,,,
65,1080268211,,65,,,休闲ing（刚刚那个群号搜不到，如果有别的65群请在这留言）,,,,,,,,,,,,,,,,,,,
66,1094827669,,66,,,,,,,,,,,,,,,,,,,,,,
67,1026803781,,67,,,,,,,,,,,,,,,,,,,,,,
68,482712372,,68,,,欢迎大家 新建的,,,,,,,,,,,,,,,,,,,
69,1101179151,,j69,,,来点人,,,,,,,,,,,,,,,,,,,
70,839948219,,j70,,,新建群，欢迎加群,,,,,,,,,,,,,,,,,,,
